지역명,권역명,항목명,경보단계,발령일,발령시간,발령농도,해제일,해제시간,해제농도
세종,세종권역,PM25,주의보,2020-12-29,12:00,80,2020-12-29,19:00,33
충북,중부권역,PM25,주의보,2020-12-29,13:00,77,2020-12-29,19:00,33
충남,북부권역,PM25,주의보,2020-12-28,21:00,76,2020-12-29,22:00,28
대구,대구권역,PM25,주의보,2020-12-28,14:00,83,2020-12-28,16:00,34
대구,대구권역,PM25,주의보,2020-12-24,11:00,80,2020-12-24,15:00,26
경남,함안권역,PM25,주의보,2020-12-24,11:00,84,2020-12-24,15:00,30
경남,의령권역,PM25,주의보,2020-12-24,12:00,79,2020-12-24,16:00,24
충남,북부권역,PM25,주의보,2020-12-24,08:00,82,2020-12-24,15:00,33
전북,김제권역,PM25,주의보,2020-12-24,11:00,90,2020-12-24,13:00,22
광주,광주권역,PM25,주의보,2020-12-23,14:00,76,2020-12-24,14:00,23
전북,임실권역,PM25,주의보,2020-12-23,23:00,83,2020-12-24,13:00,21
경기,남부권,PM25,주의보,2020-12-23,13:00,75,2020-12-24,14:00,27
충북,북부권역,PM25,주의보,2020-12-22,14:00,79,2020-12-24,16:00,32
충북,중부권역,PM25,주의보,2020-12-12,01:00,75,2020-12-12,13:00,30
전북,익산권역,PM25,주의보,2020-12-12,01:00,77,2020-12-12,07:00,34
경기,남부권,PM25,주의보,2020-12-11,11:00,84,2020-12-12,13:00,29
충북,남부권역,PM25,주의보,2020-12-11,21:00,77,2020-12-12,08:00,34
인천,동남부권역,PM25,주의보,2020-12-11,11:00,82,2020-12-12,04:00,34
경기,동부권,PM25,주의보,2020-12-11,12:00,81,2020-12-12,12:00,34
전북,부안권역,PM25,주의보,2020-12-11,21:00,80,2020-12-12,08:00,29
경기,북부권,PM25,주의보,2020-12-11,10:00,82,2020-12-12,12:00,32
충남,북부권역,PM25,주의보,2020-12-11,12:00,79,2020-12-12,14:00,27
인천,서부권역,PM25,주의보,2020-12-11,12:00,76,2020-12-12,12:00,30
전북,전주권역,PM25,주의보,2020-12-11,22:00,76,2020-12-12,11:00,34
전북,정읍권역,PM25,주의보,2020-12-11,22:00,75,2020-12-12,12:00,26
경기,중부권,PM25,주의보,2020-12-11,10:00,83,2020-12-12,12:00,27
전북,김제권역,PM25,주의보,2020-12-11,20:00,96,2020-12-12,12:00,34
서울,서울권역,PM25,주의보,2020-12-10,23:00,79,2020-12-12,12:00,28
경남,창녕권역,PM25,주의보,2020-11-17,09:00,81,2020-11-17,17:00,34
경남,거창권역,PM25,주의보,2020-11-17,10:00,81,2020-11-18,13:00,34
전북,고창권역,PM25,주의보,2020-11-17,07:00,76,2020-11-17,11:00,33
전북,순창권역,PM25,주의보,2020-11-17,11:00,90,2020-11-17,18:00,34
충남,동남부권역,PM25,주의보,2020-11-16,22:00,79,2020-11-17,15:00,32
충북,남부권역,PM25,주의보,2020-11-16,21:00,86,2020-11-18,04:00,32
경기,남부권,PM25,주의보,2020-11-16,12:00,83,2020-11-18,03:00,34
전북,군산권역,PM25,주의보,2020-11-16,22:00,91,2020-11-18,03:00,30
전북,부안권역,PM25,주의보,2020-11-16,21:00,76,2020-11-17,15:00,31
충남,서부권역,PM25,주의보,2020-11-16,21:00,84,2020-11-17,16:00,32
전북,익산권역,PM25,주의보,2020-11-16,20:00,89,2020-11-17,16:00,32
전북,정읍권역,PM25,주의보,2020-11-16,20:00,83,2020-11-17,12:00,28
충북,중부권역,PM25,주의보,2020-11-16,13:00,75,2020-11-17,15:00,34
세종,세종권역,PM25,주의보,2020-11-16,20:00,85,2020-11-17,14:00,34
전북,군산권역,PM25,주의보,2020-11-15,04:00,78,2020-11-15,14:00,33
전북,김제권역,PM25,주의보,2020-11-16,00:00,82,2020-11-17,14:00,29
인천,동남부권역,PM25,주의보,2020-11-15,12:00,87,2020-11-15,16:00,28
전북,부안권역,PM25,주의보,2020-11-15,10:00,79,2020-11-15,14:00,18
경기,북부권,PM25,주의보,2020-11-15,12:00,84,2020-11-18,04:00,33
