년도,출생아수,사망자수,혼인건수,자연증가수,전년출생아수,전년대비출생아수,증감
1971,1024773,237528,239457,787245,1006645,18128,증가
1972,952780,210071,244780,742709,1024773,-71993,감소
1973,965521,267460,259112,698061,952780,12741,증가
1974,922823,248807,259604,674016,965521,-42698,감소
1975,874030,270657,283226,603373,922823,-48793,감소
1976,796331,266857,285910,529474,874030,-77699,감소
1977,825339,249254,303156,576085,796331,29008,증가
1978,750728,252298,343013,498430,825339,-74611,감소
1979,862669,239986,353824,622683,750728,111941,증가
1980,862835,277284,403031,585551,862669,166,증가
1981,867409,237481,406795,629928,862835,4574,증가
1982,848312,245767,387468,602545,867409,-19097,감소
1983,769155,254563,412984,514592,848312,-79157,감소
1984,674793,236445,385188,438348,769155,-94362,감소
1985,655489,240418,384686,415071,674793,-19304,감소
1986,636019,239256,390229,396763,655489,-19470,감소
1987,623831,243504,390276,380327,636019,-12188,감소
1988,633092,235779,410129,397313,623831,9261,증가
1989,639431,236818,410708,402613,633092,6339,증가
1990,649738,241616,399312,408122,639431,10307,증가
1991,709275,242270,416872,467005,649738,59537,증가
1992,730678,236162,419774,494516,709275,21403,증가
1993,715826,234257,402593,481569,730678,-14852,감소
1994,721185,242439,393121,478746,715826,5359,증가
1995,715020,242838,398484,472182,721185,-6165,감소
1996,691226,241149,434911,450077,715020,-23794,감소
1997,675394,244693,388960,430701,691226,-15832,감소
1998,641594,245825,373500,395769,675394,-33800,감소
1999,620668,247734,360407,372934,641594,-20926,감소
2000,640089,248740,332090,391349,620668,19421,증가
2001,559934,243813,318407,316121,640089,-80155,감소
2002,496911,247524,304877,249387,559934,-63023,감소
2003,495036,246463,302503,248573,496911,-1875,감소
2004,476958,246220,308598,230738,495036,-18078,감소
2005,438707,245874,314304,192833,476958,-38251,감소
2006,451759,244162,330634,207597,438707,13052,증가
2007,496822,246482,343559,250340,451759,45063,증가
2008,465892,246113,327715,219779,496822,-30930,감소
2009,444849,246942,309759,197907,465892,-21043,감소
2010,470171,255405,326104,214766,444849,25322,증가
2011,471265,257396,329087,213869,470171,1094,증가
2012,484550,267221,327073,217329,471265,13285,증가
2013,436455,266257,322807,170198,484550,-48095,감소
2014,435435,267692,305507,167743,436455,-1020,감소
2015,438420,275895,302828,162525,435435,2985,증가
2016,406243,280827,281635,125416,438420,-32177,감소
2017,357771,285534,264455,72237,406243,-48472,감소
2018,326822,298820,257622,28002,357771,-30949,감소
2019,302676,295110,239159,7566,326822,-24146,감소
2020,272337,304948,213502,-32611,302676,-30339,감소
